pix   img                fit
1163  6.75664946215e-09  5.28630478493e-09
1164  8.95374885346e-09  3.94158663854e-09
1165  1.49234775648e-08  4.68033272159e-09
1166  1.11496110122e-08  5.42374750198e-09
1167  7.15232273407e-09  4.41683554891e-09
1168  3.05682341661e-08  2.91655304111e-08
1169  7.87020937310e-08  8.50755973823e-08
1170  9.46429352666e-08  9.97827239374e-08
1171  4.38572342887e-08  3.67199213457e-08
1172  1.67626481584e-08  8.16498192795e-09
1173  1.12012877196e-07  1.09509101423e-07
1174  2.23009038791e-07  2.21149947597e-07
1175  1.79760363039e-07  1.78621236803e-07
1176  4.93823684167e-08  4.69878082690e-08
1177  1.71151324224e-08  6.80460695658e-09
1178  7.77241950800e-08  6.45883853401e-08
1179  9.79175780458e-08  9.00614353772e-08
1180  5.36396100870e-08  4.87206432887e-08
1181  1.40067486498e-08  1.03309595855e-08
1182  4.28979873845e-09  3.87836347193e-09
1183  5.06970243563e-09  4.62257884162e-09
1184  5.70578873038e-09  3.77318699073e-09
1185  5.33823962812e-09  5.70471741680e-09
1186  4.40961711590e-09  5.25220681057e-09
1187  4.93597518414e-09  3.82447909875e-09
1188  6.72689148828e-09  8.42474231829e-09
1189  8.21353740577e-09  1.29141528586e-08
1190  7.56492912757e-09  9.74685029161e-09
1191  4.99269425802e-09  4.80545458892e-09
1192  3.48541839834e-09  3.73353494537e-09
1193  4.60227989052e-09  3.81772895865e-09
1194  6.48129638847e-09  3.80274367292e-09
1195  6.99908397905e-09  4.51138083034e-09
1196  6.15993434039e-09  4.31728995659e-09
1197  5.01251529172e-09  3.73819228789e-09
1198  4.09015621372e-09  5.24823491149e-09
1199  3.36648042776e-09  6.90462897662e-09
1200  2.71026734389e-09  5.88730893667e-09
1201  2.28182339690e-09  4.12914231546e-09
1202  2.55403787008e-09  3.72195413969e-09
1203  3.26706151021e-09  3.73459439975e-09
1204  3.81234155356e-09  3.81215765098e-09
1205  4.00970190384e-09  4.21652311977e-09
1206  4.07522549040e-09  4.07985237161e-09
1207  4.11198719519e-09  3.72337456166e-09
1208  3.99870891954e-09  4.43693391066e-09
1209  3.45847728234e-09  5.26526153573e-09
1210  2.59937626979e-09  4.77741750147e-09
1211  2.36795805186e-09  3.92115064514e-09
1212  3.09886050154e-09  3.72035361091e-09
1213  3.65312669004e-09  3.72112216717e-09
1214  3.19482040823e-09  3.81520714765e-09
1215  2.42943865025e-09  4.08982147181e-09
1216  2.14426942868e-09  3.97934060312e-09
1217  2.19226858889e-09  3.72036145467e-09
1218  2.18890328085e-09  4.11667816492e-09
1219  2.28431895621e-09  4.59690508541e-09
1220  2.55793342063e-09  4.31505326820e-09
1221  2.67647259911e-09  3.83117242917e-09
1222  2.53028198394e-09  3.72020889028e-09
1223  2.38148900600e-09  3.72058238281e-09
1224  2.26167018447e-09  3.81524751851e-09
1225  2.23487583995e-09  4.01960191292e-09
1226  2.56161980516e-09  3.92507008422e-09
1227  3.08867442733e-09  3.72047424905e-09
1228  3.38548122869e-09  3.95998222970e-09
1229  3.30652261127e-09  4.26259302311e-09
1230  3.24831872511e-09  4.08157815018e-09
1231  3.57256779715e-09  3.78469854514e-09
1232  3.83561227224e-09  3.72024185940e-09
1233  3.88541954166e-09  3.72260184585e-09
1234  4.04111366592e-09  3.81351518008e-09
1235  4.39020331200e-09  3.97427292088e-09
1236  4.44921166576e-09  3.89107715358e-09
1237  3.90773102765e-09  3.72155316481e-09
